dir,base,name,offset,rom_addr,usize,method,csize
0x019EE70,0x470000,CAM_BLNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SBAG.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_CYCL.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_BRIK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SILO.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_NUKE.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_PYLE.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_HAND.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_GTWR.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SILO.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SILO.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_GUN.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_NUK2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SAM.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_HQ.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_ATWR.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_FIX.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_HPAD.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_OBLI.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_PROC.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_WEAP.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_AFLD.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_EYE.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_TMPL.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_E1.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_E2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_E4.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_E3.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_E5.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_E6.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_RMBO.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_BGGY.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_JEEP.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_ARTY.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_BIKE.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_LTNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_APC.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_MLRS.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_MTNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_MSAM.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_FTNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SILO.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_STNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_HARV.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_HTNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_MCV.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_ORCA.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_HELI.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_TRAN.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_BOMB.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_ION.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_ATOM.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019EE70,0x470000,CAM_SLCT.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAM_BLNK.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMSBAG2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMCYCL2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMBRIK2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMSILO2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMNUKE2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMPYLE2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMHAND2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMGTWR2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMSILO2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMSILO2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMGUN2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMNUK22.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMSAM2.IMG,0x0,0x0470000,0x0,0x0000,0x0
0x019F380,0x470000,CAMHQ2.IMG,0x0,0x0470000,0x0,0x0000,0x0
