name          frames  frame size   png size
A10               1    32x24         32x24  
AFLD              1    32x24         32x24  
APC               1    32x24         32x24  
ARCO              1    32x24         32x24  
ARTY              1    32x24         32x24  
ATOM              1    32x24         32x24  
ATWR              1    32x24         32x24  
BARB              1    32x24         32x24  
BGGY              1    32x24         32x24  
BIKE              1    32x24         32x24  
BIO               1    32x24         32x24  
BOAT              1    32x24         32x24  
BOMB              1    32x24         32x24  
BRIK              1    32x24         32x24  
C17               1    32x24         32x24  
CYCL              1    32x24         32x24  
E1                1    32x24         32x24  
E2                1    32x24         32x24  
E3                1    32x24         32x24  
E4                1    32x24         32x24  
E5                1    32x24         32x24  
E6                1    32x24         32x24  
EYE               1    32x24         32x24  
FACT              1    32x24         32x24  
FIX               1    32x24         32x24  
FTNK              1    32x24         32x24  
GTWR              1    32x24         32x24  
GUN               1    32x24         32x24  
HAND              1    32x24         32x24  
HARV              1    32x24         32x24  
HELI              1    32x24         32x24  
HOSP              1    32x24         32x24  
HPAD              1    32x24         32x24  
HQ                1    32x24         32x24  
HTNK              1    32x24         32x24  
ION               1    32x24         32x24  
JEEP              1    32x24         32x24  
LST               1    32x24         32x24  
LTNK              1    32x24         32x24  
MCV               1    32x24         32x24  
MHQ               1    32x24         32x24  
MLRS              1    32x24         32x24  
MSAM              1    32x24         32x24  
MTNK              1    32x24         32x24  
NUK2              1    32x24         32x24  
NUKE              1    32x24         32x24  
OBLI              1    32x24         32x24  
ORCA              1    32x24         32x24  
PROC              1    32x24         32x24  
PUMP              1    32x24         32x24  
PYLE              1    32x24         32x24  
RMBO              1    32x24         32x24  
ROAD              1    32x24         32x24  
SAM               1    32x24         32x24  
SBAG              1    32x24         32x24  
SILO              1    32x24         32x24  
STNK              1    32x24         32x24  
TMPL              1    32x24         32x24  
TRAN              1    32x24         32x24  
WEAP              1    32x24         32x24  
WOOD              1    32x24         32x24  
CLOCK           109    32x24       3488x24  
STRIP             2    32x24         64x24  
STRIPUP           2    16x12         32x12  
STRIPDN           2    16x12         32x12  
TABS              1    80x7          80x7   
POWER             1     8x3           8x3   
PIPS              8    34x6         272x6   
OPTIONS          32   103x79       3296x79  
RADARGDI         43    80x69       3440x69  
RADARNOD         43    80x69       3440x69  
MOUSE           178    30x24       5340x24  
